Nested Section Name,Link
1200 - Substantive Examination of Applications,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e1.html
1201 - Ownership of Mark,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e7.html
1201.01 - Claim of Ownership May Be Based on Use By Related Companies,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e51.html
1201.02 - Identifying the Applicant in the Application,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e93.html
1201.02(a) - Identifying the Applicant Properly,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e97.html
1201.02(b) - Application Void if Wrong Party Identified as the Applicant,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e112.html
1201.02(c) - Correcting Errors in How the Applicant Is Identified,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e151.html
1201.02(d) - Operating Divisions,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e297.html
1201.02(e) - Changes in Ownership After Application Is Filed,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e306.html
1201.03 - Use by Related Companies,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e314.html
1201.03(a) - No Explanation of Use of Mark by Related Companies or Applicant’s Control Over Use of Mark by Related Companies Required,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e398.html
1201.03(b) - Wholly Owned Related Companies,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e409.html
"1201.03(c) - Common Stockholders, Directors, or Officers",https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e430.html
1201.03(d) - Sister Corporations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e450.html
1201.03(e) - License and Franchise Situations,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e466.html
1201.04 - Inquiry Regarding Parties Named on Specimens or Elsewhere in Record,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e516.html
1201.05 - Acceptable Claim of Ownership Based on Applicant’s Own Use,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e532.html
1201.06 - Special Situations Pertaining to Ownership,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e541.html
1201.06(a) - Applicant Is Merely Distributor or Importer,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e545.html
1201.06(b) - Goods Manufactured in a Country Other than Where Applicant Is Located,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e591.html
1201.06(c) - Applicant Using Designation of a U.S. Government Agency or Instrumentality,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/ch1200_d2c2af_1971a_2bd.html
1201.07 - Related Companies and Likelihood of Confusion,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e597.html
1201.07(a) - “Single Source” – “Unity of Control”,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e601.html
1201.07(b) - Appropriate Action with Respect to Assertion of Unity of Control,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e646.html
1201.07(b)(i) - When Either Applicant or Registrant Owns All of the Other Entity,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e660.html
1201.07(b)(ii) - Joint Ownership or Ownership of Substantially All of the Other Entity,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e675.html
1201.07(b)(iii) - When the Record Does Not Support a Presumption of Unity of Control,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e694.html
1201.07(b)(iv) - When the Record Contradicts an Assertion of Unity of Control,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e712.html
1202 - Use of Subject Matter as Trademark,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e718.html
1202.01 - Refusal of Matter Used Solely as a Trade Name,https://tmep.uspto.gov/RDMS/TMEP/current#/Nov2023/TMEP-1200d1e786.html
